,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Pair Classification,Reranking,Retrieval
251,252,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),92%,0.086,0.102,128.0,512.0,,,,,
252,253,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),92%,,6.918,2048.0,32000.0,,,,,
253,253,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),92%,2.41,2.673,2048.0,8192.0,,,,,
254,255,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),85%,6.979,7.11,4096.0,32768.0,,,,,
255,256,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),92%,0.306,0.327,1792.0,512.0,,,,,
256,257,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),92%,0.304,0.326,1792.0,512.0,,,,,
257,258,[ListConRanker](https://huggingface.co/ByteDance/ListConRanker),92%,,0.401,1024.0,512.0,,,,,
258,258,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),85%,6.979,7.11,4096.0,32768.0,,,,,
259,260,[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2),⚠️ NA,0.304,0.326,768.0,512.0,,,,,
260,261,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),78%,0.304,0.326,1792.0,512.0,,,,,
261,262,[Conan-embedding-v1](https://huggingface.co/TencentBAC/Conan-embedding-v1),⚠️ NA,0.304,0.326,768.0,512.0,,,,,
262,262,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),92%,6.98,7.111,4096.0,32768.0,,,,,
263,264,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,0.113,0.212,768.0,8192.0,,,,,
264,265,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),92%,6.979,7.11,4000.0,32768.0,,,,,
265,265,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,6.953,7.576,1792.0,8192.0,,,,,
266,267,[Zhinao-ChineseModernBert-Embedding](https://huggingface.co/qihoo360/Zhinao-ChineseModernBert-Embedding),100%,0.11,0.227,768.0,512.0,,,,,
267,268,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),92%,6.979,7.11,8000.0,32768.0,,,,,
268,269,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),92%,,0.306,768.0,512.0,,,,,
269,270,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),92%,0.11,0.149,768.0,8192.0,,,,,
270,271,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),92%,,0.281,768.0,512.0,,,,,
271,272,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),92%,0.44,0.596,1024.0,2048.0,,,,,
272,273,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,,,
273,274,[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2),⚠️ NA,,,1024.0,512.0,,,,,
274,274,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),92%,6.98,7.111,4096.0,32768.0,,,,,
275,276,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,2.442,2.725,2304.0,512.0,,,,,
276,277,[Yinka](https://huggingface.co/Classical/Yinka),⚠️ NA,0.304,0.326,1024.0,512.0,,,,,
277,277,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,0.304,0.335,1024.0,512.0,,,,,
278,277,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,0.0,0.128,256.0,,,,,,
279,280,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),⚠️ NA,0.304,0.335,768.0,512.0,,,,,
280,281,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,,,,,
281,282,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),85%,7.022,7.547,4096.0,8192.0,,,,,
282,283,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),92%,0.287,0.354,1024.0,128000.0,,,,,
283,284,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),85%,3.634,4.022,2560.0,8192.0,,,,,
